symbol,yf_symbol,name,sector,industry,country,ipoyear,market_cap,nasdaq_last_price,nasdaq_volume,nasdaq_dollar_volume,start_date,start_adj_close,latest_date,latest_adj_close,one_month_return,history_observations
TXG,TXG,10x Genomics Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,2019,3661416491.0,28.84,2005877.0,57849492.68,2026-05-12,20.920000076293945,2026-06-12,28.84000015258789,0.3785850883083268,44
KEEL,KEEL,Keel Infrastructure Corp. Common Stock,Finance,Finance: Consumer Services,Canada,,3369937856.0,5.59,54627616.0,305368373.44,2026-05-12,4.070000171661377,2026-06-12,5.590000152587891,0.37346435302631664,44
BBY,BBY,Best Buy Co. Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,United States,,16551542405.0,78.53,2908104.0,228373407.12,2026-05-12,57.20000076293945,2026-06-12,78.52999877929688,0.37290205824922595,44
FPS,FPS,Forgent Power Solutions Inc. Class A Common Stock,Energy,Industrial Machinery/Components,,2026,17970437318.0,59.03,2903107.0,171370406.21,2026-05-12,43.0099983215332,2026-06-12,59.029998779296875,0.3724715434304764,44
M,M,Macy's Inc Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,United States,,6673272893.0,25.37,7706598.0,195516391.26000002,2026-05-12,18.520000457763672,2026-06-12,25.3700008392334,0.36987042182270424,44
BMA,BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks,Argentina,,6311421651.0,98.71,370272.0,36549549.12,2026-05-12,72.2807388305664,2026-06-12,98.70999908447266,0.3656473450812283,44
EXTR,EXTR,Extreme Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,United States,1999,4068506318.0,31.11,1676297.0,52149599.67,2026-05-12,22.790000915527344,2026-06-12,31.110000610351562,0.36507237211893284,44
KNX,KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking Freight/Courier Services,United States,2017,13249760760.0,81.54,3222585.0,262769580.9,2026-05-12,59.747528076171875,2026-06-12,81.54000091552734,0.36474266871045,44
SNDK,SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,United States,,293232529816.0,1980.1,11927072.0,23616795267.2,2026-05-12,1452.02001953125,2026-06-12,1980.0999755859375,0.3636864154429258,44
TWST,TWST,Twist Bioscience Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,2018,4743205987.0,76.17,2612356.0,198983156.52,2026-05-12,55.95000076293945,2026-06-12,76.16999816894531,0.3613940505859532,44
ERAS,ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,2021,4369332815.0,14.05,2076324.0,29172352.200000003,2026-05-12,10.380000114440918,2026-06-12,14.050000190734863,0.3535645506581593,44
KMX,KMX,CarMax Inc,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States,,7274260415.0,51.26,3270376.0,167639473.76,2026-05-12,38.209999084472656,2026-06-12,51.2599983215332,0.34153361815608263,44
CDW,CDW,CDW Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,United States,2013,16887728688.0,132.19,2582843.0,341426016.17,2026-05-12,98.71468353271484,2026-06-12,132.19000244140625,0.3391118495314571,44
STM,STM,STMicroelectronics N.V. Common Stock,Technology,Semiconductors,Switzerland,,68701778150.0,77.3,11429797.0,883523308.1,2026-05-12,57.93000030517578,2026-06-12,77.30000305175781,0.33436911176490036,44
SEZL,SEZL,Sezzle Inc. Common Stock,Finance,Finance: Consumer Services,United States,,4462305421.0,132.7,584513.0,77564875.1,2026-05-12,99.62999725341797,2026-06-12,132.6999969482422,0.33192814018360006,44
SNDR,SNDR,Schneider National Inc. Common Stock,Industrials,Trucking Freight/Courier Services,United States,2017,6731778400.0,38.44,989674.0,38043068.559999995,2026-05-12,28.864063262939453,2026-06-12,38.439998626708984,0.33175978297084496,44
BFLY,BFLY,Butterfly Network Inc. Class A Common Stock,Health Care,Medical Electronics,United States,2020,1447434166.0,5.54,5769647.0,31963844.38,2026-05-12,4.159999847412109,2026-06-12,5.539999961853027,0.3317308089084188,44
GEO,GEO,Geo Group Inc (The) REIT,Consumer Discretionary,Homebuilding,United States,,3800103997.0,28.44,1822459.0,51830733.96,2026-05-12,21.40999984741211,2026-06-12,28.440000534057617,0.32835127215076776,44
MGM,MGM,MGM Resorts International Common Stock,Consumer Discretionary,Hotels/Resorts,United States,,12529034978.0,48.97,4810442.0,235567344.73999998,2026-05-12,36.900001525878906,2026-06-12,48.970001220703125,0.32710024920620184,44
RMIX,RMIX,Suncrete Inc. Class A Common Stock,Industrials,Building Materials,United States,,1566644146.0,21.88,984501.0,21540881.88,2026-05-12,16.5,2026-06-12,21.8799991607666,0.32606055519797583,44
ULCC,ULCC,Frontier Group Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,United States,2021,1436183344.0,6.25,7984729.0,49904556.25,2026-05-12,4.71999979019165,2026-06-12,6.25,0.32415260123268475,44
CRS,CRS,Carpenter Technology Corporation Common Stock,Industrials,Steel/Iron Ore,United States,,27897974282.0,561.49,780302.0,438131769.98,2026-05-12,424.6600036621094,2026-06-12,561.489990234375,0.3222106753456764,44
PK,PK,Park Hotels & Resorts Inc. Common Stock ,Consumer Discretionary,Hotels/Resorts,United States,2016,2919746608.0,14.5,2839878.0,41178231.0,2026-05-12,10.970000267028809,2026-06-12,14.5,0.3217866588008098,44
BAND,BAND,Bandwidth Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,United States,2017,2092010839.0,65.34,721132.0,47118764.88,2026-05-12,49.439998626708984,2026-06-12,65.33999633789062,0.32160190438581404,44
PAYO,PAYO,Payoneer Global Inc. Common Stock,Consumer Discretionary,Business Services,United States,,2259755982.0,6.75,9345734.0,63083704.5,2026-05-12,5.119999885559082,2026-06-12,6.75,0.318359404467629,44
AMAT,AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,United States,1972,450373486668.0,567.25,8055809.0,4569657655.25,2026-05-12,430.66461181640625,2026-06-12,567.25,0.31715024739906084,44
GH,GH,Guardant Health Inc. Common Stock,Health Care,Medical Specialities,United States,2018,17452802655.0,131.62,1511422.0,198933363.64000002,2026-05-12,99.94000244140625,2026-06-12,131.6199951171875,0.31699011308664815,44
TNGX,TNGX,Tango Therapeutics Inc.,Health Care,Biotechnology: Pharmaceutical Preparations,United States,2020,4475408563.0,30.94,9960813.0,308187554.22,2026-05-12,23.5,2026-06-12,30.940000534057617,0.31659576740670703,44
WING,WING,Wingstop Inc. Common Stock,Consumer Discretionary,Restaurants,United States,2015,4419571026.0,162.29,1344397.0,218182189.13,2026-05-12,123.41796875,2026-06-12,162.2899932861328,0.3149624396660864,44
TRIP,TRIP,TripAdvisor Inc. Common Stock,Technology,Computer Software: Programming Data Processing,United States,,1444042107.0,12.41,7661362.0,95077502.42,2026-05-12,9.449999809265137,2026-06-12,12.40999984741211,0.3132275235862838,44
UCTT,UCTT,Ultra Clean Holdings Inc. Common Stock,Technology,Semiconductors,United States,2004,4881807533.0,108.9,1020638.0,111147478.2,2026-05-12,82.98999786376953,2026-06-12,108.9000015258789,0.31220634207801035,44
AGYS,AGYS,Agilysys Inc. Common Stock (DE),Technology,EDP Services,United States,,2553023253.0,90.64,386670.0,35047768.8,2026-05-12,69.23999786376953,2026-06-12,90.63999938964844,0.30906993336400235,44
RDW,RDW,Redwire Corporation Common Stock,Industrials,Military/Government/Technical,United States,2021,3611039216.0,15.12,63913820.0,966376958.4,2026-05-12,11.5600004196167,2026-06-12,15.119999885559082,0.30795842013130503,44
GGAL,GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Finance,Commercial Banks,Argentina,,8860095575.0,55.16,1264742.0,69763168.72,2026-05-12,42.189998626708984,2026-06-12,55.15999984741211,0.30741885856550555,44
FRMI,FRMI,Fermi Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,2025,4552280066.0,7.14,21198277.0,151355697.78,2026-05-12,5.46999979019165,2026-06-12,7.139999866485596,0.3053016709961216,44
AEVA,AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,United States,,1569086035.0,24.89,1821267.0,45331335.63,2026-05-12,19.09000015258789,2026-06-12,24.889999389648438,0.3038239492247612,44
MRCY,MRCY,Mercury Systems Inc Common Stock,Technology,Electrical Products,United States,1998,7223206945.0,120.3,490464.0,59002819.199999996,2026-05-12,92.31999969482422,2026-06-12,120.30000305175781,0.3030762938629239,44
